start,end,WSAID,objectid,nationalco,nationalle,inspireid,national_1,beginlifes,endlifespa,country,name_gn_la,name_gn_na,name_gn__1,name_gn_so,name_gn_pr,name_gn_sp,name_gn__2,residenceo,upperlevel,boundary,Vandforsyn,Area (m3),Job_distribution_Industries,Job_distribution_Services,Job_distribution_Agriculture,WSA_Area (m3)
"1978","2019","1000",,,,,,,,,,,,,,,,,,,,,,,,"52643860"
"1997","2019","1001",,,,,,,,,,,,,,,,,,,,,,,,"138586657"
"1978","2005","1002",,,,,,,,,,,,,,,,,,,,,,,,"88215943"
"1978","2005","1003",,,,,,,,,,,,,,,,,,,,,,,,"39681783"
"1978","2019","1004",,,,,,,,,,,,,,,,,,,,,,,,"26020599"
"1978","2019","1005",,,,,,,,,,,,,,,,,,,,,,,,"30698802"
"1978","2019","1006",,,,,,,,,,,,,,,,,,,,,,,,"99058954"
"1978","2019","1007",,,,,,,,,,,,,,,,,,,,,,,,"18896819"
"1978","2019","1008",,,,,,,,,,,,,,,,,,,,,,,,"100280801"
"2007","2019","1009",,,,,,,,,,,,,,,,,,,,,,,,"115182355"
"1978","2019","1010",,,,,,,,,,,,,,,,,,,,,,,,"1178509"
"2005","2019","1011",,,,,,,,,,,,,,,,,,,,,,,,"20995570"
"1978","1991","1012",,,,,,,,,,,,,,,,,,,,,,,,"4663307"
"1978","1991","1013",,,,,,,,,,,,,,,,,,,,,,,,"2319879"
"1978","1986","1014",,,,,,,,,,,,,,,,,,,,,,,,"49141384"
"1978","2019","1015",,,,,,,,,,,,,,,,,,,,,,,,"2419048"
"2011","2019","1016",,,,,,,,,,,,,,,,,,,,,,,,"136049300"
"1978","2019","1017",,,,,,,,,,,,,,,,,,,,,,,,"6579079"
"1978","2006","1018",,,,,,,,,,,,,,,,,,,,,,,,"3999377"
"2002","2019","1019",,,,,,,,,,,,,,,,,,,,,,,,"108536353"
"1978","2019","1020",,,,,,,,,,,,,,,,,,,,,,,,"7618365"
"1978","2019","1021",,,,,,,,,,,,,,,,,,,,,,,,"13701944"
"2005","2019","1022",,,,,,,,,,,,,,,,,,,,,,,,"13955762"
"1996","1999","1023",,,,,,,,,,,,,,,,,,,,,,,,"183006905"
"1978","2019","1024",,,,,,,,,,,,,,,,,,,,,,,,"34867924"
"1978","2019","1025",,,,,,,,,,,,,,,,,,,,,,,,"7721513"
"1999","2019","1026",,,,,,,,,,,,,,,,,,,,,,,,"11898955"
"1978","2019","1027",,,,,,,,,,,,,,,,,,,,,,,,"22718430"
"1978","2019","1028",,,,,,,,,,,,,,,,,,,,,,,,"25441544"
"1978","2019","1029",,,,,,,,,,,,,,,,,,,,,,,,"10266279"
"1978","2019","1030",,,,,,,,,,,,,,,,,,,,,,,,"29425930"
"2010","2019","1031",,,,,,,,,,,,,,,,,,,,,,,,"210216474"
"1978","2019","1032",,,,,,,,,,,,,,,,,,,,,,,,"39255444"
"1978","2019","1033",,,,,,,,,,,,,,,,,,,,,,,,"10027076"
"1978","2019","1034",,,,,,,,,,,,,,,,,,,,,,,,"13311093"
"1978","2019","1035",,,,,,,,,,,,,,,,,,,,,,,,"25296444"
"1978","2019","1036",,,,,,,,,,,,,,,,,,,,,,,,"27071222"
"1978","2019","1037",,,,,,,,,,,,,,,,,,,,,,,,"66452482"
"2007","2019","1038",,,,,,,,,,,,,,,,,,,,,,,,"136646999"
"1994","2019","1039",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","7624041"
"1978","2019","1040",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","60799"
"1978","2019","1041",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","601262"
"1978","2019","1042",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","691173"
"1978","2019","1043",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","991139"
"2009","2019","1044",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","3950082"
"1978","2019","1045",23,"0269",3rdOrder,"389138",Kommune,2024/10/03 11:51:03.000,,DK,dan,endonym,official,,,Solrød,Latn,,"389100",,Andre Syd,"40448404",4899.66666666667,2684.33333333333,"85","426895"
"1978","2005","1046",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","162786034"
"1978","2019","1047",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","1919395"
"1978","2019","1048",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","1394720"
"1978","2019","1049",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","17039781"
"1978","2019","1050",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","7064484"
"1978","2019","1051",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","8367886"
"1978","2019","1052",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","26640847"
"1978","2019","1053",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","3309472"
"1978","2019","1054",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","5558425"
"1978","2019","1055",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","14884235"
"1978","2019","1056",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","9115104"
"1978","2019","1057",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","7106264"
"1978","2019","1058",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","6681938"
"1978","2005","1059",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","3387652"
"1978","2019","1060",25,"0329",3rdOrder,"389142",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Ringsted,Latn,,"389100",,Andre Syd,"295158627",13462.6666666667,6466.33333333333,"440","16824049"
"2017","2019","1061",35,"0320",3rdOrder,"389143",Kommune,2024/10/03 13:21:57.000,,DK,dan,endonym,official,,,Faxe,Latn,,"389100",,,"405044628",9268.66666666667,5844.33333333333,"486","124068601"
"1995","2019","1062",29,"0217",3rdOrder,"389124",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Helsingør,Latn,,"389099",,Andre Nord,"121679790",17415,9778,"144","114098194"
"1978","2019","1063",29,"0217",3rdOrder,"389124",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Helsingør,Latn,,"389099",,Andre Nord,"121679790",17415,9778,"144","539081"
"1978","2019","1064",29,"0217",3rdOrder,"389124",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Helsingør,Latn,,"389099",,Andre Nord,"121679790",17415,9778,"144","2288269"
"1978","2019","1065",29,"0217",3rdOrder,"389124",Kommune,2024/10/03 14:19:16.000,,DK,dan,endonym,official,,,Helsingør,Latn,,"389099",,Andre Nord,"121679790",17415,9778,"144","5038647"
"2007","2019","1066",,,,,,,,,,,,,,,,,,,,,,,,"139907696"
"2005","2019","1067",,,,,,,,,,,,,,,,,,,,,,,,"18185322"
"1978","1996","1068",,,,,,,,,,,,,,,,,,,,,,,,"31840687"
"1978","2019","1069",,,,,,,,,,,,,,,,,,,,,,,,"1966038"
"1978","2019","1070",,,,,,,,,,,,,,,,,,,,,,,,"4281317"
"1978","2019","1071",,,,,,,,,,,,,,,,,,,,,,,,"19456303"
"1978","2019","1072",,,,,,,,,,,,,,,,,,,,,,,,"6482325"
"1978","2019","1073",,,,,,,,,,,,,,,,,,,,,,,,"26365728"
"1978","2019","1074",,,,,,,,,,,,,,,,,,,,,,,,"14329750"
"1978","2019","1075",,,,,,,,,,,,,,,,,,,,,,,,"13198588"
"1978","2019","1076",,,,,,,,,,,,,,,,,,,,,,,,"7272472"
"1978","2019","1077",,,,,,,,,,,,,,,,,,,,,,,,"12187745"
"1978","2019","1078",,,,,,,,,,,,,,,,,,,,,,,,"50760476"
"2006","2019","1079",,,,,,,,,,,,,,,,,,,,,,,,"19622542"
"2003","2019","1080",,,,,,,,,,,,,,,,,,,,,,,,"13203507"
"1978","2019","1081",,,,,,,,,,,,,,,,,,,,,,,,"9075433"
"1978","2019","1082",,,,,,,,,,,,,,,,,,,,,,,,"5998616"
"2000","2019","1083",,,,,,,,,,,,,,,,,,,,,,,,"10149475"
"1990","2019","1084",,,,,,,,,,,,,,,,,,,,,,,,"13387712"
"1978","2019","1085",,,,,,,,,,,,,,,,,,,,,,,,"5292475"
"1978","2019","1086",,,,,,,,,,,,,,,,,,,,,,,,"7950713"
"1978","2019","1087",,,,,,,,,,,,,,,,,,,,,,,,"13774330"
"1978","2019","1088",,,,,,,,,,,,,,,,,,,,,,,,"7569267"
